Time Stamps (s),Theta(t) (radians),Theta_dot(t) (radians/s)
0.0,0.0009259261905367638,0.0
0.5,0.0018518539687407318,0.0018518619070985321
1.0,0.002777784922289998,0.001851871433188875
1.5,0.003703720638884435,0.0018518841347442974
2.0,0.004629662706256584,0.0018519000118519268
2.5,0.005555612712182547,0.0018519190646206487
3.0,0.006481572244492872,0.0018519412931811662
3.5,0.007407542891083455,0.00185196669768593
4.0,0.00833352623992642,0.0018519952783092077
4.5,0.009259523879081024,0.0018520270352470444
5.0,0.010185537396704546,0.001852061968717277
5.5,0.011111568381063185,0.0018521000789595457
6.0,0.012037618420542958,0.001852141366235285
6.5,0.0129636891036606,0.0018521858308277333
7.0,0.013889782019074466,0.0018522334730419398
7.5,0.014815898755595436,0.0018522842932047563
8.0,0.015742040902197815,0.0018523382916648843
8.5,0.016668210048030256,0.0018523954687927823
9.0,0.017594407782426647,0.0018524558249808003
9.5,0.018520635694917048,0.0018525193606431034
10.0,0.0194468953752386,0.0018525860762156868
10.5,0.020373188413346444,0.001852655972156345
11.0,0.021299516399424616,0.0018527290489448612
11.5,0.022225880923897046,0.0018528053070827211
12.0,0.023152283577438405,0.0018528847470933767
12.5,0.024078725950985095,0.0018529673695221053
13.0,0.025005209635746147,0.0018530531749360968
13.5,0.025931736223214197,0.001853142163924413
14.0,0.026858307305176403,0.0018532343370980281
14.5,0.027784924473725416,0.0018533296950898118
15.0,0.028711589321270322,0.0018534282385545531
15.5,0.0296383034405476,0.0018535299681689608
16.0,0.03056506842463208,0.001853634884631709
16.5,0.031491885866947934,0.001853742988663407
17.0,0.03241875736127964,0.0018538542810065675
17.5,0.03334568450178292,0.0018539687624257702
18.0,0.03427266888299581,0.0018540864337074985
18.5,0.03519971209984955,0.0018542072956602015
19.0,0.036126815747679654,0.0018543313491144802
19.5,0.0370539814222369,0.0018544585949227775
20.0,0.03798121071969829,0.0018545890339596645
20.5,0.03890850523667812,0.0018547226671216787
21.0,0.03983586657023896,0.0018548594953275092
21.5,0.04076329631790271,0.001854999519517795
22.0,0.04169079607766161,0.0018551427406553898
22.5,0.0426183674479893,0.0018552891597251279
23.0,0.04354601202785187,0.0018554387777340114
23.5,0.04447373141671887,0.001855591595711085
24.0,0.04540152721457442,0.0018557476147076858
24.5,0.04632940102192826,0.0018559068357971626
25.0,0.04725735443982684,0.001856069260075109
25.5,0.048185389069864394,0.0018562348886592397
26.0,0.049113506514194015,0.0018564037226895607
26.5,0.05004170837553879,0.001856575763328183
27.0,0.05096999625720289,0.0018567510117596024
27.5,0.051898371763082686,0.0018569294691904356
28.0,0.05282683649767791,0.0018571111368496057
28.5,0.053755392066102706,0.0018572960159883585
29.0,0.054684040074096885,0.0018574841078802
29.5,0.05561278212803699,0.0018576754138210669
30.0,0.05654161983494752,0.0018578699351290485
30.5,0.05747055480251204,0.0018580676731447723
31.0,0.058399588639084433,0.0018582686292312046
31.5,0.059328722953700036,0.0018584728047736495
32.0,0.06025795935608686,0.0018586802011799034
32.5,0.06118729945667681,0.0018588908198802095
33.0,0.06211674486661691,0.0018591046623271954
33.5,0.06304629719778052,0.0018593217299961826
34.0,0.0639759580627786,0.0018595420243846452
34.5,0.06490572907497093,0.0018597655470129527
35.0,0.0658356118484774,0.0018599922994238282
35.5,0.06676560799818931,0.0018602222831825804
36.0,0.0676957191397806,0.001860455499877228
36.5,0.06862594688971922,0.0018606919511182363
37.0,0.06955629286527834,0.0018609316385389354
37.5,0.0704867586845478,0.0018611745637950553
38.0,0.07141734596644533,0.0018614207285652992
38.5,0.07234805633072798,0.0018616701345509406
39.0,0.07327889139800345,0.0018619227834759482
39.5,0.07420985278974143,0.0018621786770872321
40.0,0.07514094212828505,0.0018624378171542735
40.5,0.07607216103686218,0.0018627002054695887
41.0,0.07700351113959697,0.0018629658438483576
41.5,0.07793499406152116,0.0018632347341288572
42.0,0.07886661142858559,0.0018635068781720282
42.5,0.0797983648676716,0.0018637822778618776
43.0,0.08073025600660254,0.0018640609351053242
43.5,0.0816622864741552,0.0
